,name,difficulty_code,district,difficulty,description,polyline
2006,32ND AVE NW,d,Current,#FF0000,In street minor separation,"[(48.78243706756074, -110.53104447982817), (48.783627898249115, -110.53077050321818)]"
2007,19TH AVE E,d,Current,#FF0000,Sharrows,"[(48.58018886128599, -110.2707059489772), (48.58178976638801, -110.27029731726859)]"
2009,EASTLAKE AVE NE,i,Current,#FFFF00,In street major separation,"[(48.707916585209, -110.27346856045405), (48.70814949118317, -110.27311652505146), (48.70890031882894, -110.27198162739657), (48.7096745233365, -110.2713488939783)]"
2012,19TH AVE,d,Current,#FF0000,Sharrows,"[(48.56206155791892, -110.27542210775059), (48.56594454972746, -110.27440941711987)]"
2017,THORNDYKE AVE W,d,Current,#FF0000,In street minor separation,"[(48.665003047765, -110.52967610484674), (48.66595109146973, -110.52865839622002)]"
2019,26TH AVE SW,e,Current,#00FF00,Enhanced Street,"[(48.39476837448724, -110.51095449238005), (48.390242335241254, -110.51206728940507)]"
2020,S COLUMBIAN WAY,i,Current,#FFFF00,In street major separation,"[(48.39703070495987, -110.32459194303688), (48.39638854738147, -110.32369622999295), (48.395776178523704, -110.32275463636162), (48.395528762854994, -110.3223351637888), (48.39519384071788, -110.32175936146727), (48.39468309597575, -110.32080242423399), (48.39418987077545, -110.31982499853343), (48.39289499426862, -110.31701631806663), (48.392768014375314, -110.31674090870446)]"
2021,20TH AVE NE,d,Current,#FF0000,In street minor separation,"[(48.74196935948639, -110.22907910915427), (48.74329140441252, -110.228778962068), (48.74386034834781, -110.22864978761952), (48.74406047622532, -110.22860180314957)]"
2022,BURKE GILMAN TRL,e,Current,#00FF00,Multi use Trail,"[(48.72710845874262, -110.43018879863075), (48.72415690687431, -110.4281404946816)]"
2024,NE 75TH ST,d,Current,#FF0000,In street minor separation,"[(48.78700641678555, -110.19886196220678), (48.7869642432278, -110.19845866986843), (48.78663530922935, -110.19531417380719)]"
2025,15TH AVE S,d,Current,#FF0000,In street minor separation,"[(48.37570860210419, -110.33961844008186), (48.37317898927607, -110.3402338073801), (48.371447908765894, -110.34065487105107)]"
2026,S OTHELLO ST,d,Current,#FF0000,In street minor separation,"[(48.30310592062051, -110.21110280750185), (48.30307602950672, -110.21001363872614), (48.302126080417054, -110.20121421922254)]"
2028,CHERRY ST,d,Current,#FF0000,In street minor separation,"[(48.53776759200325, -110.37173991243544), (48.538243008796854, -110.37004038589663), (48.538664995887665, -110.36853175644904), (48.53889060698261, -110.36772514912151)]"
2030,GREENWOOD AVE N,i,Current,#FFFF00,In street major separation,"[(48.801804217050126, -110.38045749752773), (48.804228935371086, -110.37987081692766)]"
2031,35TH AVE NE,i,Current,#FFFF00,In street major separation,"[(48.77753856888694, -110.16607637588567), (48.783439793567275, -110.16483171444901)]"
2033,LINDEN AVE N,i,Current,#FFFF00,In street major separation,"[(48.93064630425473, -110.32605556612565), (48.93089112916239, -110.32595945766721), (48.930908668852496, -110.32595257354448), (48.93092618833131, -110.32594569715768), (48.93354650117531, -110.32491702997103)]"
2034,5TH AVE NE,d,Current,#FF0000,In street minor separation,"[(48.83922332405518, -110.26211152654098), (48.8421761656562, -110.26144058017978)]"
2036,FREMONT AVE N,e,Current,#00FF00,Enhanced Street,"[(48.870683910160594, -110.34625482607238), (48.87303367258174, -110.34572138870999)]"
2039,E CHERRY ST,d,Current,#FF0000,In street minor separation,"[(48.54676658030311, -110.28387577444693), (48.54629854803119, -110.27956292392226)]"
2040,BOYER AVE E,i,Current,#FFFF00,In street major separation,"[(48.63374451614526, -110.24067760167843), (48.634950025306914, -110.24257822875558)]"
2043,9TH AVE N,i,Current,#FFFF00,In street major separation,"[(48.59903460769033, -110.37583814471456), (48.60281413465924, -110.37491579500468)]"
2045,LAKEVIEW BLVD E,i,Current,#FFFF00,In street major separation,"[(48.618806253885445, -110.32827334450282), (48.619290229325905, -110.32751129688944), (48.6196287954443, -110.32683798406099), (48.619980293209295, -110.32610715011752), (48.62601068329843, -110.31748132344768), (48.626134357893065, -110.3172540412213)]"
2048,LATONA AVE NE,d,Current,#FF0000,In street minor separation,"[(48.7251133719228, -110.29626050785627), (48.729289864302366, -110.29519992307596), (48.730998058151584, -110.29476608216076)]"
2049,NE 75TH ST,d,Current,#FF0000,In street minor separation,"[(48.7905548733825, -110.23279739912411), (48.79018439398793, -110.22924798051736)]"
2050,FAUNTLEROY WAY SW,i,Current,#FFFF00,In street major separation,"[(48.317885167083986, -110.62043978446337), (48.31771215844832, -110.6204820035077)]"
2055,BEACON AVE S,e,Current,#00FF00,Multi use Trail,"[(48.47084554287395, -110.33014497262488), (48.470249362461196, -110.32983920186848), (48.47007390425232, -110.32974921234448), (48.469591631505075, -110.32950186647263), (48.469109341570814, -110.32925452170076), (48.46862596486451, -110.32900663712725), (48.4683365766291, -110.32885822344393)]"
2056,35TH AVE NE,i,Current,#FFFF00,In street major separation,"[(48.82136177856554, -110.15611233303888), (48.82306308066881, -110.15566145458759)]"
2057,STONE WAY N,d,Current,#FF0000,In street minor separation,"[(48.70769458669184, -110.35936847724896), (48.70944299551211, -110.3588634489171)]"
2058,24TH AVE NW,d,Current,#FF0000,In street minor separation,"[(48.77992445865725, -110.49518620875848), (48.78228634132897, -110.4946290437706)]"
2059,2ND AVE,i,Current,#FFFF00,In street major separation,"[(48.54142667548398, -110.369332548803), (48.54396372572977, -110.3709409506236)]"
2061,ROOSEVELT WAY NE,i,Current,#FFFF00,In street major separation,"[(48.7593539807645, -110.26182763244073), (48.761289551243756, -110.26136459731025)]"
2063,ROOSEVELT WAY NE,i,Current,#FFFF00,In street major separation,"[(48.840158431768735, -110.24323195777563), (48.84310999646928, -110.24261719886574)]"
2067,CALIFORNIA AVE SW,d,Current,#FF0000,Sharrows,"[(48.42719433708267, -110.575002492557), (48.42134317410327, -110.57637184746991)]"
2068,CHIEF SEALTH TRL,e,Current,#00FF00,Multi use Trail,"[(48.26489003835711, -110.24854159143383), (48.26462644921277, -110.24841379295383), (48.26453496939721, -110.248357368922), (48.264517792398244, -110.24785631950375), (48.26446825526397, -110.24745773667634), (48.264415075367765, -110.24708843456584), (48.26433266681694, -110.24667765415185), (48.26430391194925, -110.24655637168827), (48.26464907205951, -110.24643427320696)]"
2069,DELMAR DR E,d,Current,#FF0000,In street minor separation,"[(48.650967966472365, -110.27514580130692), (48.65103243235039, -110.27525566467966), (48.651104815919105, -110.27534510330302), (48.65111091465172, -110.27535186802567), (48.651168648586854, -110.27541593522564), (48.65118018737917, -110.2754287426316), (48.651258335184664, -110.27550635315654), (48.65133905195827, -110.27557772553958), (48.65142211821358, -110.27564267049858), (48.65150731053219, -110.27570100658161), (48.65158568330618, -110.27574777218354), (48.651665424638104, -110.27578894599077), (48.65174635412766, -110.27582443579306), (48.651828313872535, -110.275854242901), (48.65195782285217, -110.27589620475513), (48.65218855647863, -110.27597096473399), (48.65291947083701, -110.27620778918076), (48.653027436800805, -110.27624640207303), (48.65307325436145, -110.27626582098308), (48.653134257720865, -110.27629167954115), (48.653239759319206, -110.27634354569352), (48.653343753004336, -110.27640192060153), (48.65344607566067, -110.27646669798028), (48.65351385931741, -110.27651465204306), (48.65354654105244, -110.2765377728526), (48.65364498904978, -110.2766150207675), (48.653741245524216, -110.27669831667939), (48.65383515270168, -110.2767875110865), (48.653926551157475, -110.2768824618416), (48.65394873942489, -110.27690760800148), (48.65401528413776, -110.2769830051917), (48.654101203696406, -110.27708897203752), (48.65412769868344, -110.27712449105535), (48.65418416290846, -110.27720017903188), (48.65426402200455, -110.27731644483933), (48.654340646169004, -110.27743756604382), (48.654413907742175, -110.27756334124118), (48.65447538599863, -110.27767749549457), (48.65453409428568, -110.27779493146652), (48.65458995300084, -110.27791549034771), (48.654642873336215, -110.27803893807717), (48.65465471275202, -110.2780679983257), (48.654666374833376, -110.27809712709804), (48.65467785305343, -110.27812632926214), (48.654797989761626, -110.27843558813319), (48.655009231092805, -110.27897937585051), (48.65505324655051, -110.27908523040598), (48.655101434443246, -110.2791868521198), (48.65511255571399, -110.27920752826525), (48.655153619791825, -110.27928387758094), (48.65520961133863, -110.27937594325789), (48.65526920312248, -110.27946270270627), (48.65530893491725, -110.27951390976372), (48.65533216983892, -110.27954385209179), (48.65539828586926, -110.27961908413113), (48.65546730208247, -110.2796881139734), (48.655538970528404, -110.27975069510023), (48.65561302171086, -110.27980659950818), (48.65568918283024, -110.27985561390702), (48.6557671777061, -110.27989756429227), (48.6558467128581, -110.27993229078275), (48.65592749991649, -110.27995966399675), (48.65593797043858, -110.27996221846298), (48.65600923541429, -110.27997959277405), (48.65609162335363, -110.27999199141021), (48.657277369081015, -110.2801155063765), (48.657368188128984, -110.28012848906502), (48.65745845456243, -110.28014841664695), (48.65754793316583, -110.28017523291687), (48.65763639690049, -110.28020886944222), (48.657723614872566, -110.2802492410519), (48.657809361455456, -110.28029624393557), (48.65789341660417, -110.2803497590855), (48.6579755649109, -110.28040964197116), (48.658055593248946, -110.28047574758257), (48.65813329674524, -110.28054789410878), (48.65820846887622, -110.28062590709376), (48.65828092308966, -110.28070957634668), (48.658350472833995, -110.28079869167284), (48.65841693391575, -110.28089301782634), (48.65848013645357, -110.28099232359217), (48.65853992047321, -110.28109633359168), (48.65859612364305, -110.28120479748989), (48.65860353576036, -110.28122069846556), (48.65864861241133, -110.28131742387193), (48.65869724473545, -110.28143393010524), (48.65874189980489, -110.2815540115902), (48.65938653582215, -110.28339485134478), (48.65954840049758, -110.28385708067846), (48.6599180095317, -110.2849126180001)]"
2071,8TH AVE NW,d,Current,#FF0000,Sharrows,"[(48.83649643592163, -110.4085257728855), (48.83877223487342, -110.40799949580459)]"
2079,NW 65TH ST,d,Current,#FF0000,Sharrows,"[(48.7882135996369, -110.43643967942488), (48.78839303846813, -110.43825491215989)]"
2084,PHINNEY AVE N,d,Current,#FF0000,In street minor separation,"[(48.742329823163125, -110.39003911420043), (48.74463842974026, -110.38947586685077)]"
2086,FREMONT AVE N,i,Current,#FFFF00,In street major separation,"[(48.72198859560854, -110.38133853249917), (48.72225599621692, -110.3813420212395), (48.72497206873448, -110.38072788897186)]"
2088,JEFFERSON ST,d,Current,#FF0000,In street minor separation,"[(48.54496523615229, -110.32427717603656), (48.54449296459847, -110.31987780134776)]"
2089,BOSTON ST,d,Current,#FF0000,In street minor separation,"[(48.66038502247679, -110.41078775719367), (48.65996231167678, -110.40676553785484)]"
2091,EAST STEVENS WAY NE,d,Current,#FF0000,Sharrows,"[(48.76566710418616, -110.57637187733825), (48.76590831244111, -110.57616462834176), (48.7663782314727, -110.57595099620373), (48.76719133074628, -110.5756381731398), (48.767885422854285, -110.57552696308059), (48.772718026540225, -110.5781025777194), (48.77371231735662, -110.57889707238104), (48.774169954694635, -110.57948998088145), (48.774421795878304, -110.58053921576322), (48.77527683040584, -110.58223260483274), (48.77552664194506, -110.5824346069377), (48.77593015677896, -110.58259140753555), (48.776265682949884, -110.58280382298713), (48.77664060565234, -110.58296670983201), (48.776851607626845, -110.58335905864075), (48.77721132884429, -110.58345749000375), (48.77765056230005, -110.58333885994287), (48.77795928628121, -110.5835129646901), (48.77813943998581, -110.58380746196778), (48.77835591369169, -110.5845279333548), (48.77851845795458, -110.5854114918696), (48.77859321461117, -110.58788050867246), (48.77877327748988, -110.58991507506848), (48.77952212312613, -110.59639077933787), (48.77969528090727, -110.5972433134228), (48.779829054179295, -110.59919853691981), (48.77976262041367, -110.59977412861087), (48.779639777929134, -110.60015402878699), (48.77947594542963, -110.6005126363795), (48.77934025627059, -110.60074720355509), (48.77828521258262, -110.60085561644246)]"
2093,UNIVERSITY WAY NE,d,Current,#FF0000,In street minor separation,"[(48.7324808455866, -110.25369807023166), (48.73744620800255, -110.25243201930563)]"
2096,BEACON AVE S,d,Current,#FF0000,Sharrows,"[(48.381095025396355, -110.30542366412669), (48.37607483077974, -110.30502208248511)]"
2097,QUEEN ANNE AVE N,d,Current,#FF0000,In street minor separation,"[(48.665571304383356, -110.41816940949703), (48.671523276616234, -110.4167230181989)]"
2098,CALIFORNIA AVE SW,d,Current,#FF0000,Sharrows,"[(48.46840799506331, -110.5653650916654), (48.462557144400485, -110.56673362759533)]"
2099,N 44TH ST,e,Current,#00FF00,Enhanced Street,"[(48.72298903117461, -110.3099115992986), (48.72266941560727, -110.30759058530639)]"
2101,NE 75TH ST,d,Current,#FF0000,In street minor separation,"[(48.784930023575654, -110.17902711666284), (48.7845570788598, -110.17547748978241)]"
2103,31ST AVE S,d,Current,#FF0000,In street minor separation,"[(48.49777478279611, -110.24074067264264), (48.49559409932492, -110.24131843810677), (48.494057742150616, -110.24172546639049)]"
2104,E UNION ST,i,Current,#FFFF00,In street major separation,"[(48.564846061429805, -110.30174555159067), (48.564423306881174, -110.29740160459592)]"
2105,NE 70TH ST,d,Current,#FF0000,In street minor separation,"[(48.78214842943817, -110.26521867343858), (48.781686816206935, -110.261170148087)]"
2107,4TH AVE,i,Current,#FFFF00,In street major separation,"[(48.573794440031484, -110.38269252596959), (48.576731567479946, -110.38639850579436)]"
2108,SYLVAN WAY SW,i,Current,#FFFF00,In street major separation,"[(48.36223041127686, -110.5395146976976), (48.3620155034895, -110.53922411581871), (48.36178571916239, -110.53896041253452), (48.36154256710461, -110.53872525612802), (48.36128760272223, -110.53852018684195), (48.36101185851157, -110.53835905585662)]"
2116,E YESLER WAY,d,Current,#FF0000,In street minor separation,"[(48.52758484052993, -110.30177091733047), (48.5271219300795, -110.29745676683946)]"
2117,4TH AVE,i,Current,#FFFF00,In street major separation,"[(48.56341287228449, -110.37381185083782), (48.565021254298564, -110.37483320806287)]"
2118,BEACON AVE S,d,Current,#FF0000,Sharrows,"[(48.28989240560993, -110.27365697111453), (48.2898905066714, -110.27365697047986), (48.28959580179234, -110.27369006593905), (48.28926457304778, -110.27373071469613), (48.288877298634404, -110.27376902147859), (48.288402499556035, -110.2738672602228), (48.28562402519668, -110.27439107052476)]"
2119,12TH AVE S,e,Current,#00FF00,Enhanced Street,"[(48.394567750715595, -110.34756546251849), (48.389625873974374, -110.34877200402245)]"
2124,S JACKSON ST,d,Current,#FF0000,Sharrows,"[(48.52505776003453, -110.35677292585558), (48.52469107987325, -110.35330425814325), (48.52460423725393, -110.3524828609293)]"
2125,NE 65TH ST,i,Current,#FFFF00,In street major separation,"[(48.751010465031065, -110.08766627215314), (48.75040429730599, -110.08212702561573), (48.75032583125986, -110.08141654991314)]"
2127,FAUNTLEROY WAY SW,i,Current,#FFFF00,In street major separation,"[(48.33859602191523, -110.61538130575904), (48.32987691679834, -110.61751316642436)]"
2128,23RD AVE S,d,Current,#FF0000,In street minor separation,"[(48.46343193089028, -110.28342538004703), (48.46200724122923, -110.28377295538462), (48.45911711864573, -110.28447795391814), (48.45879248139332, -110.28459523692037), (48.45723517322826, -110.28580598206747)]"
2129,STONE WAY N,d,Current,#FF0000,In street minor separation,"[(48.69254301116994, -110.36374520780531), (48.69613319868228, -110.36271035708556)]"
2130,M L KING JR WAY,i,Current,#FFFF00,In street major separation,"[(48.53656462515323, -110.245232937897), (48.53807430832697, -110.2448699416731), (48.53833372639094, -110.2448075632765)]"
2133,1ST AVE,i,Current,#FFFF00,In street major separation,"[(48.59355229797378, -110.42472147643586), (48.59410635208314, -110.42542360998634), (48.59427876725981, -110.42564205572579)]"
2134,51ST AVE S,d,Current,#FF0000,In street minor separation,"[(48.24244027013648, -110.22454939957281), (48.242439729264795, -110.22454953278805), (48.23906020728473, -110.22539680100105), (48.23883689814613, -110.22545080137286)]"
2138,MAGNOLIA BLVD W,d,Current,#FF0000,In street minor separation,"[(48.69199560286834, -110.60400371957743), (48.693934676396154, -110.60585443589396), (48.69427122042598, -110.60617565825589), (48.694641965392165, -110.60603561341583), (48.69495367528673, -110.60579143758424), (48.69525551580812, -110.60556856559117), (48.69556960583549, -110.6051812921159), (48.69562942229127, -110.60510695786091)]"
2141,5TH AVE N,d,Current,#FF0000,In street minor separation,"[(48.65510559850446, -110.38741747211371), (48.65785836143825, -110.38674368864514)]"
2145,LINDEN AVE N,i,Current,#FFFF00,In street major separation,"[(48.94813173206641, -110.31982766666223), (48.94839854155878, -110.319767208965), (48.95090225467634, -110.31919997202924), (48.95108012798182, -110.31915967064144)]"
2147,12TH AVE NE,i,Current,#FFFF00,In street major separation,"[(48.778265423012655, -110.25166365067726), (48.78052290923983, -110.25101312018568)]"
2148,GOLDEN GARDENS DR NW,d,Current,#FF0000,Sharrows,"[(48.84640939142111, -110.52828923205476), (48.84634542496482, -110.5281270259301), (48.846278158680086, -110.52799380313887), (48.84608657979992, -110.527864962454), (48.845522067642364, -110.52774926438154), (48.8450328239334, -110.52767995720725), (48.84383452170801, -110.52700211537058), (48.843350044758985, -110.52671301121828), (48.842787652121395, -110.52637421123602), (48.84185924319986, -110.52603453338243), (48.84146963295622, -110.52580552083353), (48.84112546023232, -110.52551892736626), (48.840975476975856, -110.52523467870903), (48.84086770627889, -110.52488312789235), (48.84095472072831, -110.52437827759309), (48.841044187638, -110.52398217122648), (48.84116453513664, -110.5236217359561), (48.84140185754303, -110.5231744407717), (48.84188780147287, -110.52271836087718), (48.8425605907122, -110.52218212167067), (48.84310463390016, -110.52175613531128), (48.843722219481705, -110.52137809504778), (48.844457846137956, -110.52108090032841), (48.845343715054796, -110.5208051612888)]"
2151,THACKERAY PL NE,d,Current,#FF0000,In street minor separation,"[(48.725500092752085, -110.29980062812791), (48.72961410386479, -110.29875717839298), (48.7313854104433, -110.2983078375524)]"
2152,S JACKSON ST,i,Current,#FFFF00,In street major separation,"[(48.516798867812795, -110.27544070167181), (48.51675941215376, -110.27503897085778), (48.51645847762412, -110.27197546044812)]"
2154,SW MORGAN ST,i,Current,#FFFF00,In street major separation,"[(48.36512548655176, -110.55910980292234), (48.36566118561466, -110.56353046909129)]"
2156,E UNION ST,i,Current,#FFFF00,In street major separation,"[(48.56646782481511, -110.31616552040178), (48.5663126819247, -110.3147735148597)]"
2157,8TH AVE NW,d,Current,#FF0000,In street minor separation,"[(48.7581477561447, -110.42771404113151), (48.76008188008575, -110.42725120437363), (48.76051275854358, -110.42714809130788)]"
2158,RAINIER AVE S,i,Current,#FFFF00,In street major separation,"[(48.21373221673809, -110.15874379110181), (48.21337925299905, -110.15840856393385)]"
2160,CALIFORNIA AVE SW,d,Current,#FF0000,Sharrows,"[(48.460484506043414, -110.56721900435181), (48.456705316182, -110.568103991385)]"
2161,12TH AVE,d,Current,#FF0000,In street minor separation,"[(48.56521699646042, -110.30589444428199), (48.56918794333977, -110.30529959968652)]"
2164,NW 58TH ST,e,Current,#00FF00,Enhanced Street,"[(48.775701488350784, -110.47795578254272), (48.776578448150886, -110.48632383091503)]"
2167,S JACKSON ST,d,Current,#FF0000,Sharrows,"[(48.52530555890865, -110.35911846573822), (48.525179249565944, -110.3579228174526), (48.52505776003453, -110.35677292585558)]"
2168,S DEARBORN ST,i,Current,#FFFF00,In street major separation,"[(48.51153845189078, -110.33428431028562), (48.51149692768421, -110.33397869757358), (48.511336467647276, -110.33237187392564), (48.511180293606735, -110.3309986300934), (48.511130663670535, -110.33053121686626), (48.51097323883629, -110.32904872191185), (48.51092795599436, -110.32862230839294), (48.510880937032454, -110.32818129553736), (48.510830396669895, -110.3277072710746), (48.510775005574374, -110.32717796177376)]"
2174,10TH AVE E,i,Current,#FFFF00,In street major separation,"[(48.623448220724704, -110.30384231305702), (48.62916008318633, -110.30247590982059), (48.629242948070356, -110.3024560806264)]"
2175,EAST MARGINAL WAY S,i,Current,#FFFF00,In street major separation,"[(48.30479040121721, -110.34890483791837), (48.29955860114912, -110.34244340754152)]"
2176,UNIVERSITY WAY NE,d,Current,#FF0000,In street minor separation,"[(48.70162148665032, -110.26177828519282), (48.70366977764269, -110.26123330353158)]"
2177,16TH AVE SW,d,Current,#FF0000,In street minor separation,"[(48.38067438511497, -110.4779620615001), (48.37493202976908, -110.47934794214726), (48.371801437320094, -110.48010395639274), (48.36867267524098, -110.48085761168706), (48.36344651616164, -110.48211917469678)]"
2180,NE RAVENNA BLVD,i,Current,#FFFF00,In street major separation,"[(48.781493490674855, -110.28241364329436), (48.77725545283291, -110.27976974816998)]"
2182,ROOSEVELT WAY NE,i,Current,#FFFF00,In street major separation,"[(48.77172427453755, -110.25890444598694), (48.774089400603465, -110.25837321272313)]"
2183,WESTERN AVE,d,Current,#FF0000,In street minor separation,"[(48.55891845595079, -110.38989254483577), (48.562154940177784, -110.39194908903872), (48.5622340258718, -110.39199928542646), (48.562407709598325, -110.39226843768895)]"
2186,NW 65TH ST,d,Current,#FF0000,Sharrows,"[(48.78752096817089, -110.42943572610245), (48.787862274345194, -110.43288649594783)]"
2189,STONE WAY N,d,Current,#FF0000,In street minor separation,"[(48.73111470646022, -110.35260397273528), (48.73304664818831, -110.35206431498652), (48.733502388429926, -110.35193567352854)]"
2191,9TH AVE,d,Current,#FF0000,In street minor separation,"[(48.53660194996503, -110.33316003504481), (48.539139345988005, -110.33476876517148), (48.541673958642306, -110.33637624461802)]"
2192,NE 75TH ST,d,Current,#FF0000,In street minor separation,"[(48.78626459229241, -110.19179531447439), (48.785772799695046, -110.18708403004939)]"
2194,BEACON AVE S,d,Current,#FF0000,Sharrows,"[(48.388391044664765, -110.30690899324077), (48.382996142476486, -110.30649905645936)]"
2195,GREEN LAKE DR N,i,Current,#FFFF00,In street major separation,"[(48.80824085889224, -110.31949542942878), (48.808616793371186, -110.31993190241835), (48.808896244553814, -110.32033540311699), (48.8105170325792, -110.32338260126917)]"
2199,NE 125TH ST,i,Current,#FFFF00,In street major separation,"[(48.90339045915109, -110.16082269982508), (48.90285045886054, -110.15589025452326)]"
2200,FAUNTLEROY WAY SW,i,Current,#FFFF00,In street major separation,"[(48.32987691679834, -110.61751316642436), (48.32911855742551, -110.61769830048975)]"
2205,NE 71ST ST,d,Current,#FF0000,In street minor separation,"[(48.78531191232844, -110.27427410043067), (48.785326838146524, -110.27377924002856), (48.78508553171659, -110.27059971855908), (48.785084342769, -110.27058921303507)]"
2208,8TH AVE NW,d,Current,#FF0000,Sharrows,"[(48.851681762249754, -110.40501324522623), (48.85752570419434, -110.40366091613708)]"
2210,BEACON AVE S,d,Current,#FF0000,Sharrows,"[(48.34412264792552, -110.30367029267316), (48.340610371397304, -110.303448616884)]"
2212,BROADWAY E,i,Current,#FFFF00,In street major separation,"[(48.58559514520851, -110.31500737159531), (48.58938700103354, -110.31417065929736)]"
2213,E UNION ST,i,Current,#FFFF00,In street major separation,"[(48.560544630382196, -110.25956271971646), (48.5603295899823, -110.25751668540842), (48.560112466343185, -110.25529047696637)]"
2214,SW ADMIRAL WAY,i,Current,#FFFF00,In street major separation,"[(48.4800588957136, -110.52868727373482), (48.480370718700975, -110.52879225227109), (48.48037795227163, -110.5287946861061), (48.480690456422174, -110.52893925658934), (48.48080062502509, -110.52900478540646), (48.48099450080725, -110.52912010384442), (48.48128822120536, -110.52933612805174), (48.48156362829319, -110.5295800380505), (48.48167178717486, -110.52969340713065), (48.48182584295522, -110.52985488126852), (48.482073351139846, -110.53015903234115), (48.48230468507509, -110.53049073411094), (48.48251850234114, -110.53084804666138), (48.48271355441879, -110.53122888513988)]"
2217,W EMERSON ST,d,Current,#FF0000,In street minor separation,"[(48.73100762773582, -110.58615100195551), (48.73138708954001, -110.58977737466768)]"
2220,E CHERRY ST,d,Current,#FF0000,In street minor separation,"[(48.545378268637045, -110.27099532252348), (48.54491854849095, -110.26669590049939)]"
2221,CALIFORNIA AVE SW,d,Current,#FF0000,Sharrows,"[(48.486388627330086, -110.5604511163017), (48.48030299831461, -110.56212441205949)]"
2223,8TH AVE NW,d,Current,#FF0000,In street minor separation,"[(48.798159454158515, -110.41768310135392), (48.7984245729824, -110.41761978730375), (48.80415659866422, -110.41625073601514), (48.80431570270464, -110.41621272966879)]"
2225,FAUNTLEROY WAY SW,i,Current,#FFFF00,In street major separation,"[(48.36414403591131, -110.60058120546242), (48.36398642541767, -110.60061998751861), (48.36148160663384, -110.60123624317373)]"
2226,15TH AVE S,d,Current,#FF0000,In street minor separation,"[(48.44157850383156, -110.32380883316938), (48.435106444524045, -110.32539137631723)]"
2230,15TH AVE S,d,Current,#FF0000,In street minor separation,"[(48.447328830498414, -110.32240601007892), (48.44449000476232, -110.3230987296553)]"
2231,FREMONT AVE N,e,Current,#00FF00,Multi use Trail,"[(48.69008758844823, -110.38809060425642), (48.69161363492451, -110.38775509972406), (48.69439179562752, -110.38706941743882), (48.6944984197625, -110.38704367105441), (48.69522050756655, -110.38686929533662), (48.69522563742789, -110.38686805794237), (48.69536199817376, -110.38683512596872), (48.69550234652783, -110.38681761784457)]"
2241,NE 125TH ST,i,Current,#FFFF00,In street major separation,"[(48.90488089667129, -110.1742710647966), (48.904373556732175, -110.16967581022496), (48.904344407559826, -110.1693984480118)]"
2242,39TH AVE NE,e,Current,#00FF00,Enhanced Street,"[(48.75240719626208, -110.1564329890024), (48.75808907205884, -110.15514467384973), (48.75831877844314, -110.15532206543234)]"
2244,UNIVERSITY BR,i,Current,#FFFF00,In street major separation,"[(48.694822293131566, -110.28813149096247), (48.696267304553274, -110.28650705058239)]"
2245,EAST GREEN LAKE DR N,i,Current,#FFFF00,In street major separation,"[(48.79618810979842, -110.29724398445467), (48.79620185292029, -110.2975093506472), (48.79622352487108, -110.29778542326581), (48.79624031315225, -110.29806227865728), (48.79625220606458, -110.29833971166059), (48.7962591951339, -110.29861752699416), (48.79626127385452, -110.29889552544788), (48.79625944274644, -110.30025429865763), (48.796260701520595, -110.30050335833116), (48.796266151426885, -110.30075228635076), (48.796275792015756, -110.30100092459436), (48.79630920848087, -110.3012577858644)]"
2246,SW ADMIRAL WAY,i,Current,#FFFF00,In street major separation,"[(48.48589200697907, -110.5559270482255), (48.486388627330086, -110.5604511163017)]"
2248,16TH AVE SW,i,Current,#FFFF00,In street major separation,"[(48.32447373455129, -110.49179806491846), (48.32163233451661, -110.4924827194978)]"
2250,SWIFT AVE S,d,Current,#FF0000,In street minor separation,"[(48.361560300295096, -110.34313986628554), (48.361053560852525, -110.34285728260448), (48.360755039925934, -110.34265162220777), (48.36048686616889, -110.34243017681543), (48.3602544153275, -110.34218230247214), (48.36008864414693, -110.341968401205), (48.35999579157272, -110.34178719111024), (48.35979172607584, -110.3415716342833), (48.359513273369544, -110.34123784428897), (48.35929330133053, -110.34098741063177), (48.35840519465964, -110.3398336151426)]"
2251,FREMONT AVE N,i,Current,#FFFF00,In street major separation,"[(48.71849268288384, -110.38205400966098), (48.71875969191551, -110.38199550460702), (48.72198859560854, -110.38133853249917)]"
2252,FREMONT AVE N,e,Current,#00FF00,Enhanced Street,"[(48.86833412875651, -110.34678820998643), (48.870683910160594, -110.34625482607238)]"
2253,6TH AVE,d,Current,#FF0000,In street minor separation,"[(48.577510770697714, -110.37600052757604), (48.580448486397145, -110.37970545989015)]"
2254,WALLINGFORD AVE N,d,Current,#FF0000,In street minor separation,"[(48.718058183675836, -110.33563113162495), (48.721836171694505, -110.33467709501157)]"
2256,NE 125TH ST,i,Current,#FFFF00,In street major separation,"[(48.907934078619434, -110.20110836146505), (48.90793096280177, -110.20108090870818), (48.90760624321081, -110.19822393744386)]"
2258,17TH AVE NW,e,Current,#00FF00,Enhanced Street,"[(48.814472613178076, -110.4576469838159), (48.82037850943171, -110.45627089288837)]"
2260,BEACON AVE S,d,Current,#FF0000,Sharrows,"[(48.356462952543765, -110.30466153525846), (48.35159892186485, -110.3042581246062)]"
2261,12TH AVE,d,Current,#FF0000,In street minor separation,"[(48.532169951900265, -110.31388766621362), (48.53485382849806, -110.31325124775044)]"
2264,18TH AVE S,e,Current,#00FF00,Enhanced Street,"[(48.45199612302143, -110.30761666716602), (48.44913519516472, -110.30829211608172)]"
